doc_number,token,freq,max_freq,n,N,log_factor,poids
4,field,1,1,1,6,0.8450980400142568,0.8450980400142568
4,first,1,1,3,6,0.47712125471966244,0.47712125471966244
4,framework,1,1,1,6,0.8450980400142568,0.8450980400142568
4,furthermore,1,1,2,6,0.6020599913279624,0.6020599913279624
4,gencrf,1,1,1,6,0.8450980400142568,0.8450980400142568
4,generate,1,1,3,6,0.47712125471966244,0.47712125471966244
4,generated,1,1,2,6,0.6020599913279624,0.6020599913279624
4,generative,1,1,2,6,0.6020599913279624,0.6020599913279624
4,groups,1,1,1,6,0.8450980400142568,0.8450980400142568
4,improve,1,1,4,6,0.3979400086720376,0.3979400086720376
4,information,1,1,3,6,0.47712125471966244,0.47712125471966244
4,initial,1,1,1,6,0.8450980400142568,0.8450980400142568
4,innovative,1,1,1,6,0.8450980400142568,0.8450980400142568
4,input,1,1,3,6,0.47712125471966244,0.47712125471966244
4,integrates,1,1,1,6,0.8450980400142568,0.8450980400142568
4,intentions,1,1,1,6,0.8450980400142568,0.8450980400142568
4,intents,1,1,1,6,0.8450980400142568,0.8450980400142568
4,ir,1,1,2,6,0.6020599913279624,0.6020599913279624
4,known,1,1,1,6,0.8450980400142568,0.8450980400142568
4,language,1,1,6,6,0.3010299956639812,0.3010299956639812
4,large,1,1,6,6,0.3010299956639812,0.3010299956639812
4,leverage,1,1,1,6,0.8450980400142568,0.8450980400142568
4,leverages,1,1,2,6,0.6020599913279624,0.6020599913279624
4,limited,1,1,2,6,0.6020599913279624,0.6020599913279624
4,llms,1,1,4,6,0.3979400086720376,0.3979400086720376
4,loops,1,1,1,6,0.8450980400142568,0.8450980400142568
4,methods,1,1,2,6,0.6020599913279624,0.6020599913279624
4,model,1,1,6,6,0.3010299956639812,0.3010299956639812
4,models,1,1,6,6,0.3010299956639812,0.3010299956639812
4,modifying,1,1,1,6,0.8450980400142568,0.8450980400142568
4,multiple,1,1,3,6,0.47712125471966244,0.47712125471966244
4,ndcg,1,1,4,6,0.3979400086720376,0.3979400086720376
4,novel,1,1,2,6,0.6020599913279624,0.6020599913279624
4,often,1,1,1,6,0.8450980400142568,0.8450980400142568
4,optimize,1,1,1,6,0.8450980400142568,0.8450980400142568
4,paper,1,1,4,6,0.3979400086720376,0.3979400086720376
4,performance,1,1,3,6,0.47712125471966244,0.47712125471966244
4,phase,1,1,1,6,0.8450980400142568,0.8450980400142568
4,potentially,1,1,1,6,0.8450980400142568,0.8450980400142568
4,previous,1,1,3,6,0.47712125471966244,0.47712125471966244
4,problem,1,1,3,6,0.47712125471966244,0.47712125471966244
4,process,1,1,4,6,0.3979400086720376,0.3979400086720376
4,prompts,1,1,2,6,0.6020599913279624,0.6020599913279624
4,propose,1,1,5,6,0.3424226808222063,0.3424226808222063
4,qerm,1,1,1,6,0.8450980400142568,0.8450980400142568
4,queries,1,1,2,6,0.6020599913279624,0.6020599913279624
4,query,1,1,4,6,0.3979400086720376,0.3979400086720376
4,rate,1,1,1,6,0.8450980400142568,0.8450980400142568
4,recent,1,1,4,6,0.3979400086720376,0.3979400086720376
4,redundant,1,1,1,6,0.8450980400142568,0.8450980400142568
4,refine,1,1,1,6,0.8450980400142568,0.8450980400142568
4,reformulation,1,1,2,6,0.6020599913279624,0.6020599913279624
4,represent,1,1,2,6,0.6020599913279624,0.6020599913279624
4,retrieval,1,1,2,6,0.6020599913279624,0.6020599913279624
4,retriever,1,1,1,6,0.8450980400142568,0.8450980400142568
4,rewarding,1,1,1,6,0.8450980400142568,0.8450980400142568
4,search,1,1,3,6,0.47712125471966244,0.47712125471966244
4,significantly,1,1,3,6,0.47712125471966244,0.47712125471966244
4,single,1,1,1,6,0.8450980400142568,0.8450980400142568
4,sotas,1,1,1,6,0.8450980400142568,0.8450980400142568
4,state,1,1,3,6,0.47712125471966244,0.47712125471966244
4,strategies,1,1,3,6,0.47712125471966244,0.47712125471966244
4,successful,1,1,1,6,0.8450980400142568,0.8450980400142568
4,surpassing,1,1,1,6,0.8450980400142568,0.8450980400142568
4,techniques,1,1,3,6,0.47712125471966244,0.47712125471966244
4,time,1,1,3,6,0.47712125471966244,0.47712125471966244
4,user,1,1,4,6,0.3979400086720376,0.3979400086720376
4,using,1,1,5,6,0.3424226808222063,0.3424226808222063
4,variable,1,1,1,6,0.8450980400142568,0.8450980400142568
4,various,1,1,2,6,0.6020599913279624,0.6020599913279624
4,weighted,1,1,1,6,0.8450980400142568,0.8450980400142568
4,well,1,1,1,6,0.8450980400142568,0.8450980400142568
5,ability,1,1,2,6,0.6020599913279624,0.6020599913279624
5,achieve,1,1,2,6,0.6020599913279624,0.6020599913279624
5,actions,1,1,1,6,0.8450980400142568,0.8450980400142568
5,advantage,1,1,1,6,0.8450980400142568,0.8450980400142568
5,aims,1,1,1,6,0.8450980400142568,0.8450980400142568
5,allows,1,1,1,6,0.8450980400142568,0.8450980400142568
5,also,1,1,2,6,0.6020599913279624,0.6020599913279624
5,analysis,1,1,1,6,0.8450980400142568,0.8450980400142568
5,aol,1,1,1,6,0.8450980400142568,0.8450980400142568
5,approach,1,1,4,6,0.3979400086720376,0.3979400086720376
5,approaches,1,1,1,6,0.8450980400142568,0.8450980400142568
5,based,1,1,6,6,0.3010299956639812,0.3010299956639812
5,benchmark,1,1,4,6,0.3979400086720376,0.3979400086720376
5,bridges,1,1,1,6,0.8450980400142568,0.8450980400142568
